2026-09-21 11:10:49 | WARD_A_HR_01 | 135 | CRITICAL
2026-09-21 11:11:00 | WARD_A_HR_03 | 82 | NORMAL
2026-09-21 11:11:00 | WARD_A_HR_04 | 86 | NORMAL
2026-09-21 11:11:00 | WARD_A_HR_05 | 63 | NORMAL
2026-09-21 11:11:01 | WARD_A_HR_01 | 130 | CRITICAL
2026-09-21 11:11:01 | WARD_A_HR_02 | 78 | NORMAL
2026-09-21 11:11:01 | WARD_A_HR_03 | 52 | CRITICAL
2026-09-21 11:11:01 | WARD_A_HR_04 | 74 | NORMAL
2026-09-21 11:11:01 | WARD_A_HR_05 | 130 | CRITICAL
2026-09-21 11:11:02 | WARD_A_HR_01 | 70 | NORMAL
2026-09-21 11:11:02 | WARD_A_HR_02 | 132 | CRITICAL
2026-09-21 11:11:02 | WARD_A_HR_03 | 82 | NORMAL
2026-09-21 11:11:02 | WARD_A_HR_04 | 92 | WARNING
2026-09-21 11:11:02 | WARD_A_HR_05 | 74 | NORMAL
2026-09-21 11:11:03 | WARD_A_HR_01 | 121 | CRITICAL
2026-09-21 11:11:03 | WARD_A_HR_02 | 69 | NORMAL
2026-09-21 11:11:03 | WARD_A_HR_03 | 131 | CRITICAL
2026-09-21 11:11:03 | WARD_A_HR_04 | 87 | NORMAL
2026-09-21 11:11:03 | WARD_A_HR_05 | 127 | CRITICAL
2026-09-21 11:11:04 | WARD_A_HR_01 | 46 | CRITICAL
2026-09-21 11:11:04 | WARD_A_HR_02 | 86 | NORMAL
2026-09-21 11:11:04 | WARD_A_HR_03 | 143 | CRITICAL
2026-09-21 11:11:04 | WARD_A_HR_04 | 140 | CRITICAL
2026-09-21 11:11:04 | WARD_A_HR_05 | 87 | NORMAL
2026-09-21 11:11:05 | WARD_A_HR_01 | 141 | CRITICAL
2026-09-21 11:11:05 | WARD_A_HR_02 | 126 | CRITICAL
2026-09-21 11:11:05 | WARD_A_HR_03 | 54 | CRITICAL
2026-09-21 11:11:05 | WARD_A_HR_04 | 147 | CRITICAL
2026-09-21 11:11:05 | WARD_A_HR_05 | 125 | CRITICAL
2026-09-21 11:11:06 | WARD_A_HR_01 | 127 | CRITICAL
2026-09-21 11:11:06 | WARD_A_HR_02 | 89 | NORMAL
2026-09-21 11:11:06 | WARD_A_HR_03 | 111 | CRITICAL
2026-09-21 11:11:06 | WARD_A_HR_04 | 149 | CRITICAL
2026-09-21 11:11:06 | WARD_A_HR_05 | 85 | NORMAL
2026-09-21 11:11:07 | WARD_A_HR_01 | 118 | CRITICAL
2026-09-21 11:11:07 | WARD_A_HR_02 | 54 | CRITICAL
2026-09-21 11:11:07 | WARD_A_HR_03 | 138 | CRITICAL
2026-09-21 11:11:07 | WARD_A_HR_04 | 56 | CRITICAL
2026-09-21 11:11:07 | WARD_A_HR_05 | 51 | CRITICAL
2026-09-21 11:11:08 | WARD_A_HR_01 | 113 | CRITICAL
2026-09-21 11:11:08 | WARD_A_HR_02 | 128 | CRITICAL
2026-09-21 11:11:08 | WARD_A_HR_03 | 100 | WARNING
2026-09-21 11:11:08 | WARD_A_HR_04 | 80 | NORMAL
2026-09-21 11:11:08 | WARD_A_HR_05 | 132 | CRITICAL
2026-09-21 11:11:09 | WARD_A_HR_01 | 123 | CRITICAL
2026-09-21 11:11:09 | WARD_A_HR_02 | 125 | CRITICAL
2026-09-21 11:11:09 | WARD_A_HR_03 | 99 | WARNING
2026-09-21 11:11:09 | WARD_A_HR_04 | 141 | CRITICAL
2026-09-21 11:11:09 | WARD_A_HR_05 | 46 | CRITICAL
2026-09-21 11:11:10 | WARD_A_HR_01 | 116 | CRITICAL
2026-09-21 11:11:10 | WARD_A_HR_02 | 53 | CRITICAL
2026-09-21 11:11:10 | WARD_A_HR_03 | 132 | CRITICAL
2026-09-21 11:11:10 | WARD_A_HR_04 | 73 | NORMAL
2026-09-21 11:11:10 | WARD_A_HR_05 | 122 | CRITICAL
2026-09-21 11:11:11 | WARD_A_HR_01 | 117 | CRITICAL
2026-09-21 11:11:11 | WARD_A_HR_02 | 84 | NORMAL
2026-09-21 11:11:11 | WARD_A_HR_03 | 46 | CRITICAL
2026-09-21 11:11:11 | WARD_A_HR_04 | 55 | CRITICAL
2026-09-21 11:11:11 | WARD_A_HR_05 | 98 | WARNING
2026-09-21 11:11:12 | WARD_A_HR_01 | 66 | NORMAL
2026-09-21 11:11:12 | WARD_A_HR_02 | 90 | WARNING
2026-09-21 11:11:12 | WARD_A_HR_03 | 93 | WARNING
2026-09-21 11:11:12 | WARD_A_HR_04 | 149 | CRITICAL
2026-09-21 11:11:12 | WARD_A_HR_05 | 84 | NORMAL
2026-09-21 11:11:13 | WARD_A_HR_01 | 108 | CRITICAL
2026-09-21 11:11:13 | WARD_A_HR_02 | 112 | CRITICAL
2026-09-21 11:11:13 | WARD_A_HR_03 | 112 | CRITICAL
2026-09-21 11:11:13 | WARD_A_HR_04 | 142 | CRITICAL
2026-09-21 11:11:13 | WARD_A_HR_05 | 70 | NORMAL
2026-09-21 11:11:14 | WARD_A_HR_01 | 61 | NORMAL
2026-09-21 11:11:14 | WARD_A_HR_02 | 117 | CRITICAL
2026-09-21 11:11:14 | WARD_A_HR_03 | 53 | CRITICAL
2026-09-21 11:11:14 | WARD_A_HR_04 | 70 | NORMAL
2026-09-21 11:11:14 | WARD_A_HR_05 | 82 | NORMAL
2026-09-21 11:11:15 | WARD_A_HR_01 | 131 | CRITICAL
2026-09-21 11:11:15 | WARD_A_HR_02 | 111 | CRITICAL
2026-09-21 11:11:15 | WARD_A_HR_03 | 107 | CRITICAL
2026-09-21 11:11:15 | WARD_A_HR_04 | 62 | NORMAL
2026-09-21 11:11:15 | WARD_A_HR_05 | 75 | NORMAL
2026-09-21 11:11:16 | WARD_A_HR_01 | 109 | CRITICAL
2026-09-21 11:11:16 | WARD_A_HR_02 | 92 | WARNING
2026-09-21 11:11:16 | WARD_A_HR_03 | 106 | CRITICAL
2026-09-21 11:11:16 | WARD_A_HR_04 | 145 | CRITICAL
2026-09-21 11:11:16 | WARD_A_HR_05 | 128 | CRITICAL
2026-09-21 11:11:17 | WARD_A_HR_01 | 127 | CRITICAL
2026-09-21 11:11:17 | WARD_A_HR_02 | 125 | CRITICAL
2026-09-21 11:11:17 | WARD_A_HR_03 | 71 | NORMAL
2026-09-21 11:11:17 | WARD_A_HR_04 | 77 | NORMAL
2026-09-21 11:11:17 | WARD_A_HR_05 | 108 | CRITICAL
2026-09-21 11:11:18 | WARD_A_HR_01 | 79 | NORMAL
2026-09-21 11:11:18 | WARD_A_HR_02 | 45 | CRITICAL
2026-09-21 11:11:18 | WARD_A_HR_03 | 70 | NORMAL
2026-09-21 11:11:18 | WARD_A_HR_04 | 112 | CRITICAL
2026-09-21 11:11:18 | WARD_A_HR_05 | 98 | WARNING
2026-09-21 11:11:19 | WARD_A_HR_01 | 62 | NORMAL
2026-09-21 11:11:19 | WARD_A_HR_02 | 79 | NORMAL
2026-09-21 11:11:19 | WARD_A_HR_03 | 67 | NORMAL
2026-09-21 11:11:19 | WARD_A_HR_04 | 150 | CRITICAL
2026-09-21 11:11:19 | WARD_A_HR_05 | 87 | NORMAL
2026-09-21 11:11:20 | WARD_A_HR_01 | 99 | WARNING
2026-09-21 11:11:20 | WARD_A_HR_02 | 144 | CRITICAL
2026-09-21 11:11:20 | WARD_A_HR_03 | 74 | NORMAL
2026-09-21 11:11:20 | WARD_A_HR_04 | 133 | CRITICAL
2026-09-21 11:11:20 | WARD_A_HR_05 | 74 | NORMAL
2026-09-21 11:11:21 | WARD_A_HR_01 | 53 | CRITICAL
2026-09-21 11:11:21 | WARD_A_HR_02 | 121 | CRITICAL
2026-09-21 11:11:21 | WARD_A_HR_03 | 56 | CRITICAL
2026-09-21 11:11:21 | WARD_A_HR_04 | 102 | CRITICAL
2026-09-21 11:11:21 | WARD_A_HR_05 | 68 | NORMAL
2026-09-21 11:11:22 | WARD_A_HR_01 | 89 | NORMAL
2026-09-21 11:11:22 | WARD_A_HR_02 | 117 | CRITICAL
2026-09-21 11:11:22 | WARD_A_HR_03 | 104 | CRITICAL
2026-09-21 11:11:22 | WARD_A_HR_04 | 73 | NORMAL
2026-09-21 11:11:22 | WARD_A_HR_05 | 133 | CRITICAL
2026-09-21 11:11:23 | WARD_A_HR_01 | 134 | CRITICAL
2026-09-21 11:11:23 | WARD_A_HR_02 | 77 | NORMAL
2026-09-21 11:11:23 | WARD_A_HR_03 | 98 | WARNING
2026-09-21 11:11:23 | WARD_A_HR_04 | 85 | NORMAL
2026-09-21 11:11:23 | WARD_A_HR_05 | 80 | NORMAL
2026-09-21 11:11:24 | WARD_A_HR_01 | 131 | CRITICAL
2026-09-21 11:11:24 | WARD_A_HR_02 | 74 | NORMAL
2026-09-21 11:11:24 | WARD_A_HR_03 | 74 | NORMAL
2026-09-21 11:11:24 | WARD_A_HR_04 | 59 | CRITICAL
2026-09-21 11:11:24 | WARD_A_HR_05 | 88 | NORMAL
2026-09-21 11:11:25 | WARD_A_HR_01 | 66 | NORMAL
2026-09-21 11:11:25 | WARD_A_HR_02 | 45 | CRITICAL
2026-09-21 11:11:25 | WARD_A_HR_03 | 121 | CRITICAL
2026-09-21 11:11:25 | WARD_A_HR_04 | 71 | NORMAL
2026-09-21 11:11:25 | WARD_A_HR_05 | 67 | NORMAL
2026-09-21 11:11:26 | WARD_A_HR_01 | 146 | CRITICAL
2026-09-21 11:11:26 | WARD_A_HR_02 | 66 | NORMAL
2026-09-21 11:11:26 | WARD_A_HR_03 | 86 | NORMAL
2026-09-21 11:11:26 | WARD_A_HR_04 | 105 | CRITICAL
2026-09-21 11:11:26 | WARD_A_HR_05 | 79 | NORMAL
2026-09-21 11:11:27 | WARD_A_HR_01 | 60 | NORMAL
2026-09-21 11:11:27 | WARD_A_HR_02 | 107 | CRITICAL
2026-09-21 11:11:27 | WARD_A_HR_03 | 58 | CRITICAL
2026-09-21 11:11:27 | WARD_A_HR_04 | 98 | WARNING
2026-09-21 11:11:27 | WARD_A_HR_05 | 145 | CRITICAL
2026-09-21 11:11:28 | WARD_A_HR_01 | 110 | CRITICAL
2026-09-21 11:11:28 | WARD_A_HR_02 | 85 | NORMAL
2026-09-21 11:11:28 | WARD_A_HR_03 | 86 | NORMAL
2026-09-21 11:11:28 | WARD_A_HR_04 | 58 | CRITICAL
2026-09-21 11:11:28 | WARD_A_HR_05 | 46 | CRITICAL
2026-09-21 11:11:29 | WARD_A_HR_01 | 74 | NORMAL
2026-09-21 11:11:29 | WARD_A_HR_02 | 72 | NORMAL
2026-09-21 11:11:29 | WARD_A_HR_03 | 78 | NORMAL
2026-09-21 11:11:29 | WARD_A_HR_04 | 112 | CRITICAL
2026-09-21 11:11:29 | WARD_A_HR_05 | 76 | NORMAL
2026-09-21 11:11:30 | WARD_A_HR_01 | 126 | CRITICAL
2026-09-21 11:11:30 | WARD_A_HR_02 | 125 | CRITICAL
2026-09-21 11:11:30 | WARD_A_HR_03 | 64 | NORMAL
2026-09-21 11:11:30 | WARD_A_HR_04 | 97 | WARNING
2026-09-21 11:11:30 | WARD_A_HR_05 | 56 | CRITICAL
2026-09-21 11:11:31 | WARD_A_HR_01 | 92 | WARNING
2026-09-21 11:11:31 | WARD_A_HR_02 | 55 | CRITICAL
2026-09-21 11:11:31 | WARD_A_HR_03 | 103 | CRITICAL
2026-09-21 11:11:31 | WARD_A_HR_04 | 85 | NORMAL
2026-09-21 11:11:31 | WARD_A_HR_05 | 142 | CRITICAL
2026-09-21 11:11:32 | WARD_A_HR_01 | 122 | CRITICAL
2026-09-21 11:11:32 | WARD_A_HR_02 | 145 | CRITICAL
2026-09-21 11:11:32 | WARD_A_HR_03 | 104 | CRITICAL
2026-09-21 11:11:32 | WARD_A_HR_04 | 80 | NORMAL
2026-09-21 11:11:32 | WARD_A_HR_05 | 92 | WARNING
2026-09-21 11:11:33 | WARD_A_HR_01 | 140 | CRITICAL
2026-09-21 11:11:33 | WARD_A_HR_02 | 81 | NORMAL
2026-09-21 11:11:33 | WARD_A_HR_03 | 82 | NORMAL
2026-09-21 11:11:33 | WARD_A_HR_04 | 113 | CRITICAL
2026-09-21 11:11:33 | WARD_A_HR_05 | 121 | CRITICAL
2026-09-21 11:11:34 | WARD_A_HR_01 | 95 | WARNING
2026-09-21 11:11:34 | WARD_A_HR_02 | 110 | CRITICAL
2026-09-21 11:11:34 | WARD_A_HR_03 | 84 | NORMAL
2026-09-21 11:11:34 | WARD_A_HR_04 | 54 | CRITICAL
2026-09-21 11:11:34 | WARD_A_HR_05 | 105 | CRITICAL
2026-09-21 11:11:35 | WARD_A_HR_01 | 70 | NORMAL
2026-09-21 11:11:35 | WARD_A_HR_02 | 102 | CRITICAL
2026-09-21 11:11:35 | WARD_A_HR_03 | 65 | NORMAL
2026-09-21 11:11:35 | WARD_A_HR_04 | 124 | CRITICAL
2026-09-21 11:11:35 | WARD_A_HR_05 | 67 | NORMAL
2026-09-21 11:11:36 | WARD_A_HR_01 | 60 | NORMAL
2026-09-21 11:11:36 | WARD_A_HR_02 | 133 | CRITICAL
2026-09-21 11:11:36 | WARD_A_HR_03 | 52 | CRITICAL
2026-09-21 11:11:36 | WARD_A_HR_04 | 73 | NORMAL
2026-09-21 11:11:36 | WARD_A_HR_05 | 127 | CRITICAL
2026-09-21 11:11:37 | WARD_A_HR_01 | 110 | CRITICAL
2026-09-21 11:11:37 | WARD_A_HR_02 | 127 | CRITICAL
2026-09-21 11:11:37 | WARD_A_HR_03 | 132 | CRITICAL
2026-09-21 11:11:37 | WARD_A_HR_04 | 102 | CRITICAL
2026-09-21 11:11:37 | WARD_A_HR_05 | 134 | CRITICAL
2026-09-21 11:11:38 | WARD_A_HR_01 | 133 | CRITICAL
2026-09-21 11:11:38 | WARD_A_HR_02 | 63 | NORMAL
2026-09-21 11:11:38 | WARD_A_HR_03 | 116 | CRITICAL
2026-09-21 11:11:38 | WARD_A_HR_04 | 53 | CRITICAL
2026-09-21 11:11:38 | WARD_A_HR_05 | 117 | CRITICAL
2026-09-21 11:11:39 | WARD_A_HR_01 | 86 | NORMAL
2026-09-21 11:11:39 | WARD_A_HR_02 | 149 | CRITICAL
2026-09-21 11:11:39 | WARD_A_HR_03 | 106 | CRITICAL
2026-09-21 11:11:39 | WARD_A_HR_04 | 102 | CRITICAL
2026-09-21 11:11:39 | WARD_A_HR_05 | 98 | WARNING
2026-09-21 11:11:40 | WARD_A_HR_01 | 46 | CRITICAL
2026-09-21 11:11:40 | WARD_A_HR_02 | 95 | WARNING
2026-09-21 11:11:40 | WARD_A_HR_03 | 46 | CRITICAL
2026-09-21 11:11:40 | WARD_A_HR_04 | 49 | CRITICAL
2026-09-21 11:11:40 | WARD_A_HR_05 | 131 | CRITICAL
2026-09-21 11:11:41 | WARD_A_HR_01 | 106 | CRITICAL
2026-09-21 11:11:41 | WARD_A_HR_02 | 111 | CRITICAL
2026-09-21 11:11:41 | WARD_A_HR_03 | 61 | NORMAL
2026-09-21 11:11:41 | WARD_A_HR_04 | 88 | NORMAL
2026-09-21 11:11:41 | WARD_A_HR_05 | 107 | CRITICAL
2026-09-21 11:11:42 | WARD_A_HR_01 | 56 | CRITICAL
2026-09-21 11:11:42 | WARD_A_HR_02 | 86 | NORMAL
2026-09-21 11:11:42 | WARD_A_HR_03 | 107 | CRITICAL
2026-09-21 11:11:42 | WARD_A_HR_04 | 137 | CRITICAL
2026-09-21 11:11:42 | WARD_A_HR_05 | 91 | WARNING
2026-09-21 11:11:43 | WARD_A_HR_01 | 73 | NORMAL
2026-09-21 11:11:43 | WARD_A_HR_02 | 66 | NORMAL
2026-09-21 11:11:43 | WARD_A_HR_03 | 114 | CRITICAL
2026-09-21 11:11:43 | WARD_A_HR_04 | 132 | CRITICAL
2026-09-21 11:11:43 | WARD_A_HR_05 | 149 | CRITICAL
2026-09-21 11:11:44 | WARD_A_HR_01 | 64 | NORMAL
2026-09-21 11:11:44 | WARD_A_HR_02 | 126 | CRITICAL
2026-09-21 11:11:44 | WARD_A_HR_03 | 137 | CRITICAL
2026-09-21 11:11:44 | WARD_A_HR_04 | 137 | CRITICAL
2026-09-21 11:11:44 | WARD_A_HR_05 | 51 | CRITICAL
2026-09-21 11:11:45 | WARD_A_HR_01 | 78 | NORMAL
2026-09-21 11:11:45 | WARD_A_HR_02 | 136 | CRITICAL
2026-09-21 11:11:45 | WARD_A_HR_03 | 65 | NORMAL
2026-09-21 11:11:45 | WARD_A_HR_04 | 128 | CRITICAL
2026-09-21 11:11:45 | WARD_A_HR_05 | 126 | CRITICAL
2026-09-21 11:11:46 | WARD_A_HR_01 | 149 | CRITICAL
2026-09-21 11:11:46 | WARD_A_HR_02 | 135 | CRITICAL
2026-09-21 11:11:46 | WARD_A_HR_03 | 134 | CRITICAL
2026-09-21 11:11:46 | WARD_A_HR_04 | 107 | CRITICAL
2026-09-21 11:11:46 | WARD_A_HR_05 | 76 | NORMAL
2026-09-21 11:11:47 | WARD_A_HR_01 | 89 | NORMAL
2026-09-21 11:11:47 | WARD_A_HR_02 | 67 | NORMAL
2026-09-21 11:11:47 | WARD_A_HR_03 | 140 | CRITICAL
2026-09-21 11:11:47 | WARD_A_HR_04 | 52 | CRITICAL
2026-09-21 11:11:47 | WARD_A_HR_05 | 113 | CRITICAL
2026-09-21 11:11:48 | WARD_A_HR_01 | 84 | NORMAL
2026-09-21 11:11:48 | WARD_A_HR_02 | 136 | CRITICAL
2026-09-21 11:11:48 | WARD_A_HR_03 | 95 | WARNING
2026-09-21 11:11:48 | WARD_A_HR_04 | 71 | NORMAL
2026-09-21 11:11:48 | WARD_A_HR_05 | 45 | CRITICAL
2026-09-21 11:11:49 | WARD_A_HR_01 | 111 | CRITICAL
2026-09-21 11:11:49 | WARD_A_HR_02 | 68 | NORMAL
2026-09-21 11:11:49 | WARD_A_HR_03 | 127 | CRITICAL
2026-09-21 11:11:49 | WARD_A_HR_04 | 80 | NORMAL
2026-09-21 11:11:49 | WARD_A_HR_05 | 56 | CRITICAL
2026-09-21 11:11:50 | WARD_A_HR_01 | 112 | CRITICAL
2026-09-21 11:11:50 | WARD_A_HR_02 | 88 | NORMAL
2026-09-21 11:11:50 | WARD_A_HR_03 | 58 | CRITICAL
2026-09-21 11:11:50 | WARD_A_HR_04 | 57 | CRITICAL
2026-09-21 11:11:50 | WARD_A_HR_05 | 89 | NORMAL
2026-09-21 11:11:51 | WARD_A_HR_01 | 55 | CRITICAL
2026-09-21 11:11:51 | WARD_A_HR_02 | 131 | CRITICAL
2026-09-21 11:11:51 | WARD_A_HR_03 | 85 | NORMAL
2026-09-21 11:11:51 | WARD_A_HR_04 | 108 | CRITICAL
2026-09-21 11:11:51 | WARD_A_HR_05 | 102 | CRITICAL
2026-09-21 11:11:52 | WARD_A_HR_01 | 69 | NORMAL
2026-09-21 11:11:52 | WARD_A_HR_02 | 121 | CRITICAL
2026-09-21 11:11:52 | WARD_A_HR_03 | 69 | NORMAL
2026-09-21 11:11:52 | WARD_A_HR_04 | 79 | NORMAL
2026-09-21 11:11:52 | WARD_A_HR_05 | 125 | CRITICAL
2026-09-21 11:11:53 | WARD_A_HR_01 | 91 | WARNING
2026-09-21 11:11:53 | WARD_A_HR_02 | 57 | CRITICAL
2026-09-21 11:11:53 | WARD_A_HR_03 | 113 | CRITICAL
2026-09-21 11:11:53 | WARD_A_HR_04 | 71 | NORMAL
2026-09-21 11:11:53 | WARD_A_HR_05 | 148 | CRITICAL
2026-09-21 11:11:54 | WARD_A_HR_01 | 122 | CRITICAL
2026-09-21 11:11:54 | WARD_A_HR_02 | 107 | CRITICAL
2026-09-21 11:11:54 | WARD_A_HR_03 | 127 | CRITICAL
2026-09-21 11:11:54 | WARD_A_HR_04 | 94 | WARNING
2026-09-21 11:11:54 | WARD_A_HR_05 | 70 | NORMAL
2026-09-21 11:11:55 | WARD_A_HR_01 | 66 | NORMAL
2026-09-21 11:11:55 | WARD_A_HR_02 | 53 | CRITICAL
2026-09-21 11:11:55 | WARD_A_HR_03 | 123 | CRITICAL
2026-09-21 11:11:55 | WARD_A_HR_04 | 129 | CRITICAL
2026-09-21 11:11:55 | WARD_A_HR_05 | 111 | CRITICAL
2026-09-21 11:11:56 | WARD_A_HR_01 | 115 | CRITICAL
2026-09-21 11:11:56 | WARD_A_HR_02 | 63 | NORMAL
2026-09-21 11:11:56 | WARD_A_HR_03 | 45 | CRITICAL
2026-09-21 11:11:56 | WARD_A_HR_04 | 140 | CRITICAL
2026-09-21 11:11:56 | WARD_A_HR_05 | 60 | NORMAL
2026-09-21 11:11:57 | WARD_A_HR_01 | 100 | WARNING
2026-09-21 11:11:57 | WARD_A_HR_02 | 140 | CRITICAL
2026-09-21 11:11:57 | WARD_A_HR_03 | 56 | CRITICAL
2026-09-21 11:11:57 | WARD_A_HR_04 | 139 | CRITICAL
2026-09-21 11:11:57 | WARD_A_HR_05 | 51 | CRITICAL
2026-09-21 11:11:58 | WARD_A_HR_01 | 125 | CRITICAL
2026-09-21 11:11:58 | WARD_A_HR_02 | 61 | NORMAL
2026-09-21 11:11:58 | WARD_A_HR_03 | 96 | WARNING
2026-09-21 11:11:58 | WARD_A_HR_04 | 101 | CRITICAL
2026-09-21 11:11:58 | WARD_A_HR_05 | 67 | NORMAL
2026-09-21 11:11:59 | WARD_A_HR_01 | 145 | CRITICAL
2026-09-21 11:11:59 | WARD_A_HR_02 | 80 | NORMAL
2026-09-21 11:11:59 | WARD_A_HR_03 | 59 | CRITICAL
2026-09-21 11:11:59 | WARD_A_HR_04 | 130 | CRITICAL
2026-09-21 11:11:59 | WARD_A_HR_05 | 86 | NORMAL
2026-09-21 11:12:00 | WARD_A_HR_01 | 106 | CRITICAL
2026-09-21 11:12:00 | WARD_A_HR_02 | 133 | CRITICAL
2026-09-21 11:12:00 | WARD_A_HR_03 | 45 | CRITICAL
2026-09-21 11:12:00 | WARD_A_HR_04 | 95 | WARNING
2026-09-21 11:12:00 | WARD_A_HR_05 | 147 | CRITICAL
2026-09-21 11:12:01 | WARD_A_HR_01 | 70 | NORMAL
2026-09-21 11:12:01 | WARD_A_HR_02 | 106 | CRITICAL
2026-09-21 11:12:01 | WARD_A_HR_03 | 47 | CRITICAL
2026-09-21 11:12:01 | WARD_A_HR_04 | 126 | CRITICAL
2026-09-21 11:12:01 | WARD_A_HR_05 | 145 | CRITICAL
2026-09-21 11:12:02 | WARD_A_HR_01 | 92 | WARNING
2026-09-21 11:12:02 | WARD_A_HR_02 | 117 | CRITICAL
2026-09-21 11:12:02 | WARD_A_HR_03 | 70 | NORMAL
2026-09-21 11:12:02 | WARD_A_HR_04 | 112 | CRITICAL
2026-09-21 11:12:02 | WARD_A_HR_05 | 103 | CRITICAL
2026-09-21 11:12:03 | WARD_A_HR_01 | 121 | CRITICAL
2026-09-21 11:12:03 | WARD_A_HR_02 | 145 | CRITICAL
2026-09-21 11:12:03 | WARD_A_HR_03 | 91 | WARNING
2026-09-21 11:12:03 | WARD_A_HR_04 | 123 | CRITICAL
2026-09-21 11:12:03 | WARD_A_HR_05 | 117 | CRITICAL
2026-09-21 11:12:04 | WARD_A_HR_01 | 107 | CRITICAL
2026-09-21 11:12:04 | WARD_A_HR_02 | 78 | NORMAL
2026-09-21 11:12:04 | WARD_A_HR_03 | 144 | CRITICAL
2026-09-21 11:12:04 | WARD_A_HR_04 | 57 | CRITICAL
2026-09-21 11:12:04 | WARD_A_HR_05 | 78 | NORMAL
2026-09-21 11:12:05 | WARD_A_HR_01 | 52 | CRITICAL
2026-09-21 11:12:05 | WARD_A_HR_02 | 66 | NORMAL
